Player,Pos,NBAID
Donta Smith,SG,2764
Dontae' Jones,SF,963
Donte DiVincenzo,SG,1628978
Donte Grantham,SF,1629055
Dontell Jefferson,SG,200971
Dontonio Wingfield,SF,112
Donté Greene,"PF, SF",201590
Donyell Marshall,"PF, SF",923
Dorell Wright,SF,2748
Dorian Finney-Smith,"PF, SF",1627827
Doron Lamb,SG,203117
Doug Christie,SG,57
Doug McDermott,"PF, SF",203926
Doug Overton,PG,77
Doug West,SG,28
Dragan Bender,"C, PF, PF-C",1627733
Dragan Tarlać,C,1434
Draymond Green,"PF, SF",203110
Drew Barry,PG,1003
Drew Eubanks,"C, PF",1629234
Drew Gooden,"C, C-PF, PF, SF, SF-PF",2400
Drew Gordon,PF,204079
Duane Causwell,C,190
Duane Ferrell,SF,273
Duane Washington Jr.,PG,-1
Duje Dukan,SF,1626251
Duncan Robinson,"SF, SG",1629130
Dusty Hannahs,SG,1628605
Dwayne Bacon,SG,1628407
Dwayne Jones,PF,101204
Dwayne Schintzius,C,368
Dwight Buycks,PG,202779
Dwight Howard,"C, PF",2730
Dwight Powell,"C, PF",203939
Dwyane Wade,"PG, SG",2548
Dylan Windler,SF,1629685
Dāvis Bertāns,PF,202722
Džanan Musa,"SF, SG",1629058
E'Twaun Moore,"PG, SG",202734
Earl Barron,C,2853
Earl Boykins,"PG, SG",1863
Earl Clark,"PF, SF",201947
Earl Watson,PG,2248
Ed Davis,"C, C-PF, PF",202334
Ed Gray,SG,1516
Ed Stokes,C,1055
Eddie Basden,SF,101188
Eddie Gill,PG,2109
Eddie Griffin,"C, PF",2204
Eddie House,"PG, PG-SG, SG",2067
Eddie Johnson,SF,698
Eddie Jones,"SF, SF-SG, SG",224
Eddie Robinson,SF,1944
Eddy Curry,"C, PF",2201
Edmond Sumner,"PG, SG",1628410
Eduardo Nájera,"PF, SF",2059
Edwin Ubiles,SF,202775
Edy Tavares,C,204002
Efthimios Rentzias,C,981
Ekpe Udoh,"C, PF",202327
Elden Campbell,"C, PF",922
Eldridge Recasner,"PG, PG-SG, SG",695
Elfrid Payton,PG,203901
Elias Harris,SF,203548
Elie Okobo,PG,1629059
Elijah Bryant,SG,-1
Elijah Hughes,"SF, SG, SG-SF",-1
Elijah Millsap,SG,202407
Elliot Perry,PG,386
Elliot Williams,"PG, SG",202343
Elton Brand,"C, PF",1882
Emanual Davis,"PG, SG",1023
Emanuel Terry,PF,1629150
Emeka Okafor,"C, PF",2731
Emmanuel Mudiay,PG,1626144
Enes Freedom,C,-1
Eric Bledsoe,"PG, SG",202339
Eric Dawson,C,201286
Eric Gordon,"SF, SG",201569
Eric Maynor,"PG, PG-SG, SG",201953
Eric Mika,C,1628450
Eric Montross,C,376
Eric Moreland,PF,203961
Eric Murdock,PG,785
Eric Paschall,PF,1629672
Eric Piatkowski,"SF, SG",15
Eric Riley,C,35
Eric Snow,"PG, SG",727
Eric Washington,SG,1540
Eric Williams,"SF, SG",677
Erick Barkley,PG,2057
Erick Dampier,C,956
Erick Green,PG,203475
Erick Strickland,"PG, SG",1065
Erik Daniels,SF,2845
Erik McCree,SF,1628571
Erik Murphy,C,203513
Ernest Brown,C,2081
Ersan İlyasova,PF,101141
Ervin Johnson,C,911
Esteban Batista,PF,101212
Etan Thomas,"C, PF",2041
Etdrick Bohannon,"PF, SF",1564
Eugene Jeter,PG,-1
Eugene Omoruyi,SF,-1
Evan Eschmeyer,C,1915
Evan Fournier,"SF, SF-SG, SG",203095
Evan Mobley,PF,-1
Evan Turner,"PG, SF, SG",202323
Fab Melo,C,203097
Fabricio Oberto,C,101177
Facundo Campazzo,PG,-1
Felipe López,"PG, SG, SG-PG",1732
Felton Spencer,C,280
